New Code,New Name,Old Honolulu Code,Old Honolulu Name,Old Oahu Code,Old Oahu Name,Old Kaala Code,Old Kaala Name,Hex
V411,Lavender Indigo,,,V366,Potato Purple,,,938ec5
BV27,Bluebell,,,V377,Light Purple,,,8b9ace
V413,Blue Violet,,,V558,Rust Purple,,,7673b1
RV53,Lilac,,,V789,Light Peach,,,d9c4df
V12,Dusty Orchid,,,V890,Pale Hibiscus,,,e0d3e8
WG28,Jet Grey,,,WG180,Warm Grey 180,,,8d898b
WG36,Deep Slate Grey,,,WG200,Warm Grey 200,,,666063
Y37,Light Wheat,,,Y291,Naples Yellow,,,ebca94
YGY21,Pearl,,,YG010,Yellow Grey 010,,,eae8e1
YGY24,Horizon Grey,,,YG030,Yellow Grey 030,,,c8c5c2
YGY26,Cement Grey,,,YG051,Yellow Grey 51,,,aaa9a0
E215,Dark Khaki Green,,,YG130,Yellow Grey 130,,,786b5f
GG28,Rock Bottom Grey,,,YG140,Yellow Grey 140,,,727673
YR27,Peach Cobbler,,,YR496,Peach Puff,,,f1a485
Y214,Sweet Potato,,,YR593,Jurassic Gold,,,dc874c
YR014,Tuscan Orange,,,YR687,Tuscan Orange,,,da8560
YR110,Light Orange,,,YR695,Apricot Orange,,,ed8e5c
